,event
2023-02-11 18:33:11.645480,lick
2023-02-11 18:33:09.721532,lick
2023-02-11 18:33:09.722491,lick
2023-02-11 18:33:09.723486,lick
2023-02-11 18:33:09.724482,lick
2023-02-11 18:33:09.725478,lick
2023-02-11 18:33:09.726472,lick
2023-02-11 18:33:09.727478,lick
2023-02-11 18:33:09.729464,lick
2023-02-11 18:33:09.730494,lick
2023-02-11 18:33:09.732453,lick
2023-02-11 18:33:09.733480,lick
2023-02-11 18:33:09.734475,lick
2023-02-11 18:33:09.735472,lick
2023-02-11 18:33:09.736430,lick
2023-02-11 18:33:09.737426,lick
2023-02-11 18:33:09.738430,lick
2023-02-11 18:33:09.739431,lick
2023-02-11 18:33:09.740421,lick
2023-02-11 18:33:09.741426,lick
2023-02-11 18:33:09.742413,lick
2023-02-11 18:33:09.743411,lick
2023-02-11 18:33:09.744403,lick
2023-02-11 18:33:09.745436,lick
2023-02-11 18:33:09.746396,lick
2023-02-11 18:33:09.747431,lick
2023-02-11 18:33:10.252636,lick
2023-02-11 18:33:10.253634,lick
2023-02-11 18:33:10.254146,lick
2023-02-11 18:33:10.255185,lick
2023-02-11 18:33:10.256181,lick
2023-02-11 18:33:10.260125,lick
2023-02-11 18:33:10.261121,lick
2023-02-11 18:33:10.262118,lick
2023-02-11 18:33:10.263153,lick
2023-02-11 18:33:10.264146,lick
2023-02-11 18:33:10.265142,lick
2023-02-11 18:33:10.267132,lick
2023-02-11 18:33:10.268091,lick
2023-02-11 18:33:10.269123,lick
2023-02-11 18:33:10.270085,lick
2023-02-11 18:33:10.271078,lick
2023-02-11 18:33:10.272110,lick
2023-02-11 18:33:10.273109,lick
2023-02-11 18:33:07.760021,beam10
2023-02-11 18:33:07.883090,beam11
2023-02-11 18:33:07.908393,beam12
2023-02-11 18:33:07.932485,beam12
2023-02-11 18:33:08.018930,beam13
2023-02-11 18:33:08.079088,beam14
2023-02-11 18:33:08.146593,beam15
2023-02-11 18:33:08.234941,beam16
2023-02-11 18:33:06.674899,beam9
2023-02-11 18:33:06.711674,beam11
2023-02-11 18:33:06.734924,beam11
2023-02-11 18:33:06.760016,beam10
2023-02-11 18:33:06.774953,beam12
2023-02-11 18:33:06.794108,beam12
2023-02-11 18:33:06.820359,beam11
2023-02-11 18:33:06.829324,beam13
2023-02-11 18:33:06.848387,beam13
2023-02-11 18:33:06.871415,beam12
2023-02-11 18:33:06.881334,beam14
2023-02-11 18:33:06.904008,beam14
2023-02-11 18:33:06.922366,beam13
2023-02-11 18:33:06.936304,beam15
2023-02-11 18:33:06.966368,beam15
2023-02-11 18:33:06.982298,beam14
2023-02-11 18:33:07.031544,beam16
2023-02-11 18:33:07.192970,beam14
2023-02-11 18:33:07.216868,beam15
2023-02-11 18:33:07.265189,beam13
2023-02-11 18:33:07.306203,beam12
2023-02-11 18:33:07.325489,beam12
2023-02-11 18:33:07.384010,beam11
2023-02-11 18:33:07.419196,beam10
2023-02-11 18:33:07.450620,beam10
2023-02-11 18:33:07.494051,beam9
2023-02-11 18:33:07.516161,beam10
2023-02-11 18:33:07.523231,beam9
2023-02-11 18:33:07.538130,beam9
2023-02-11 18:33:05.609536,beam11
2023-02-11 18:33:05.790476,beam12
2023-02-11 18:33:05.861768,beam13
2023-02-11 18:33:05.924419,beam14
2023-02-11 18:33:05.985348,beam15
2023-02-11 18:33:06.064148,beam16
2023-02-11 18:33:06.184367,beam15
2023-02-11 18:33:06.279686,beam14
2023-02-11 18:33:06.343587,beam13
2023-02-11 18:33:06.407163,beam12
2023-02-11 18:33:06.463819,beam11
2023-02-11 18:33:06.517951,beam10
2023-02-11 18:33:06.567367,beam9
2023-02-11 18:33:04.576702,beam12
2023-02-11 18:33:04.580686,beam10
2023-02-11 18:33:04.617003,beam10
2023-02-11 18:33:04.636925,beam11
2023-02-11 18:33:04.661340,beam9
2023-02-11 18:33:04.797889,beam11
2023-02-11 18:33:04.830743,beam11
2023-02-11 18:33:04.870101,beam12
2023-02-11 18:33:04.893000,beam12
2023-02-11 18:33:04.922868,beam13
2023-02-11 18:33:04.942790,beam13
2023-02-11 18:33:04.966212,beam12
2023-02-11 18:33:04.973180,beam14
2023-02-11 18:33:04.994085,beam14
2023-02-11 18:33:05.022959,beam13
2023-02-11 18:33:05.062320,beam15
2023-02-11 18:33:05.086214,beam14
2023-02-11 18:33:05.166389,beam16
2023-02-11 18:33:05.172364,beam15
2023-02-11 18:33:05.246043,beam15
2023-02-11 18:33:05.425968,beam14
2023-02-11 18:33:05.497707,beam13
2023-02-11 18:33:05.554115,beam12
2023-02-11 18:33:03.628021,beam10
2023-02-11 18:33:03.684706,beam10
2023-02-11 18:33:03.755149,beam11
2023-02-11 18:33:03.801907,beam11
2023-02-11 18:33:03.805886,beam12
2023-02-11 18:33:03.852048,beam13
2023-02-11 18:33:03.900858,beam14
2023-02-11 18:33:03.947180,beam14
2023-02-11 18:33:03.953164,beam15
2023-02-11 18:33:04.001944,beam15
2023-02-11 18:33:04.008964,juicer_valve1 open
2023-02-11 18:33:04.420316,juicer_valve1 close
2023-02-11 18:33:04.423305,beam16
2023-02-11 18:33:04.424301,beam15
2023-02-11 18:33:04.428283,beam16
2023-02-11 18:33:04.430273,beam15
2023-02-11 18:33:04.432265,beam16
2023-02-11 18:33:04.435263,beam14
2023-02-11 18:33:04.439245,beam14
2023-02-11 18:33:04.441237,beam13
2023-02-11 18:33:04.449747,beam13
2023-02-11 18:33:04.451735,beam14
2023-02-11 18:33:04.487577,beam12
2023-02-11 18:33:04.496536,beam12
2023-02-11 18:33:04.548825,beam11
2023-02-11 18:33:03.385566,beam9
2023-02-11 18:33:03.464424,beam9
2023-02-11 18:33:03.541686,beam9
2023-02-11 18:32:48.784863,beam1
2023-02-11 18:32:46.472543,lick
2023-02-11 18:32:46.473540,lick
2023-02-11 18:32:46.474534,lick
2023-02-11 18:32:46.475527,lick
2023-02-11 18:32:46.476559,lick
2023-02-11 18:32:46.059571,lick
2023-02-11 18:32:46.060529,lick
2023-02-11 18:32:43.583467,lick
2023-02-11 18:32:43.584427,lick
2023-02-11 18:32:43.585421,lick
2023-02-11 18:32:43.586454,lick
2023-02-11 18:32:43.587450,lick
2023-02-11 18:32:41.256210,lick
2023-02-11 18:32:31.584458,beam2
2023-02-11 18:32:31.644805,beam3
2023-02-11 18:32:31.702018,beam4
2023-02-11 18:32:31.762111,beam5
2023-02-11 18:32:31.811078,beam6
2023-02-11 18:32:31.872804,beam7
2023-02-11 18:32:31.955963,beam8
2023-02-11 18:32:31.988819,beam8
2023-02-11 18:32:30.380525,beam2
2023-02-11 18:32:30.455179,beam3
2023-02-11 18:32:30.469400,beam2
2023-02-11 18:32:30.512917,beam4
2023-02-11 18:32:30.520950,beam3
2023-02-11 18:32:30.559076,beam5
2023-02-11 18:32:30.570986,beam4
2023-02-11 18:32:30.605579,beam6
2023-02-11 18:32:30.619514,beam5
2023-02-11 18:32:30.656351,beam7
2023-02-11 18:32:30.668300,beam6
2023-02-11 18:32:30.670293,beam7
2023-02-11 18:32:30.711657,beam8
2023-02-11 18:32:30.734555,beam8
2023-02-11 18:32:30.916526,beam7
2023-02-11 18:32:30.998171,beam6
2023-02-11 18:32:31.058727,beam5
2023-02-11 18:32:31.107428,beam4
2023-02-11 18:32:31.110451,beam5
2023-02-11 18:32:31.154205,beam4
2023-02-11 18:32:31.160177,beam3
2023-02-11 18:32:31.205401,beam2
2023-02-11 18:32:31.254051,beam1
2023-02-11 18:32:29.364899,beam4
2023-02-11 18:32:29.415055,beam5
2023-02-11 18:32:29.447363,beam4
2023-02-11 18:32:29.466886,beam6
2023-02-11 18:32:29.497511,beam5
2023-02-11 18:32:29.523018,beam7
2023-02-11 18:32:29.556088,beam6
2023-02-11 18:32:29.559076,beam8
2023-02-11 18:32:29.603546,beam8
2023-02-11 18:32:29.638511,beam7
2023-02-11 18:32:29.844184,beam7
2023-02-11 18:32:29.893525,beam8
2023-02-11 18:32:29.904597,beam7
2023-02-11 18:32:29.935498,beam6
2023-02-11 18:32:29.969311,beam6
2023-02-11 18:32:29.998377,beam5
2023-02-11 18:32:30.026894,beam5
2023-02-11 18:32:30.057088,beam4
2023-02-11 18:32:30.081391,beam4
2023-02-11 18:32:30.133229,beam4
2023-02-11 18:32:30.136215,beam3
2023-02-11 18:32:30.194241,beam2
2023-02-11 18:32:30.264019,beam1
2023-02-11 18:32:28.523221,beam2
2023-02-11 18:32:28.603114,beam1
2023-02-11 18:32:28.620190,beam3
2023-02-11 18:32:28.682128,beam4
2023-02-11 18:32:28.733011,beam5
2023-02-11 18:32:28.765067,beam6
2023-02-11 18:32:28.809241,beam7
2023-02-11 18:32:28.848566,beam6
2023-02-11 18:32:28.926284,beam6
2023-02-11 18:32:28.944403,beam8
2023-02-11 18:32:28.977759,beam6
2023-02-11 18:32:28.994261,beam5
2023-02-11 18:32:29.032721,beam5
2023-02-11 18:32:29.051914,beam6
2023-02-11 18:32:29.086125,beam4
2023-02-11 18:32:29.132412,beam3
2023-02-11 18:32:29.201367,beam2
2023-02-11 18:32:29.296004,beam3
2023-02-11 18:32:27.530323,beam2
2023-02-11 18:32:27.588167,beam3
2023-02-11 18:32:27.642305,beam4
2023-02-11 18:32:27.677257,beam3
2023-02-11 18:32:27.692201,beam5
2023-02-11 18:32:27.710063,beam4
2023-02-11 18:32:27.739360,beam6
2023-02-11 18:32:27.784527,beam7
2023-02-11 18:32:27.807068,beam8
2023-02-11 18:32:27.848236,beam7
2023-02-11 18:32:27.947512,beam7
2023-02-11 18:32:27.987972,beam7
2023-02-11 18:32:28.029246,beam6
2023-02-11 18:32:28.052210,beam6
2023-02-11 18:32:28.055200,beam8
2023-02-11 18:32:28.087309,beam5
2023-02-11 18:32:28.108270,beam5
2023-02-11 18:32:28.134016,beam4
2023-02-11 18:32:28.161982,beam4
2023-02-11 18:32:28.213333,beam3
2023-02-11 18:32:28.230254,beam3
2023-02-11 18:32:28.266045,beam2
2023-02-11 18:32:28.305378,beam1
2023-02-11 18:32:26.766636,beam8
2023-02-11 18:32:26.917782,beam7
2023-02-11 18:32:26.995735,beam6
2023-02-11 18:32:27.055205,beam5
2023-02-11 18:32:27.112338,beam4
2023-02-11 18:32:27.171290,beam3
2023-02-11 18:32:27.228393,beam2
2023-02-11 18:32:27.292841,beam1
2023-02-11 18:31:11.059908,beam7
2023-02-11 18:31:11.111059,beam7
2023-02-11 18:31:11.231749,beam8
2023-02-11 18:31:11.232781,juicer_valve3 open
2023-02-11 18:31:11.643430,juicer_valve3 close
2023-02-11 18:31:01.901109,beam16
2023-02-11 18:31:01.902140,juicer_valve1 open
2023-02-11 18:31:02.318543,juicer_valve1 close
2023-02-11 18:31:01.357027,beam13
2023-02-11 18:31:01.566755,beam14
2023-02-11 18:31:01.744747,beam15
2023-02-11 18:30:53.346258,beam27
2023-02-11 18:30:53.347252,beam29
2023-02-11 18:30:53.526655,beam7
2023-02-11 18:30:53.643465,juicer_valve3 open
2023-02-11 18:30:54.058490,juicer_valve3 close
